# Common	Scientific	Article	Image source (Wikipedia / Wikimedia Commons)
Downy Woodpecker	Dryobates pubescens	https://en.wikipedia.org/wiki/Dryobates_pubescens	https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Dryobates_pubescens_UL_03.jpg/960px-Dryobates_pubescens_UL_03.jpg
Hairy Woodpecker	Dryobates villosus	https://en.wikipedia.org/wiki/Dryobates_villosus	https://upload.wikimedia.org/wikipedia/commons/3/3a/Picoides_villosus_monticola_male1.jpg
Pileated Woodpecker	Dryocopus pileatus	https://en.wikipedia.org/wiki/Dryocopus_pileatus	https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/PileatedWoodpeckerFeedingonTree%2C_crop.jpg/960px-PileatedWoodpeckerFeedingonTree%2C_crop.jpg
Gray Catbird	Dumetella carolinensis	https://en.wikipedia.org/wiki/Dumetella_carolinensis	https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Gray_catbird_%2885315%29.jpg/960px-Gray_catbird_%2885315%29.jpg
Acadian Flycatcher	Empidonax virescens	https://en.wikipedia.org/wiki/Empidonax_virescens	https://upload.wikimedia.org/wikipedia/commons/7/73/Empidonax_virescens_99136793_%28cropped%29.jpg
Common Yellowthroat	Geothlypis trichas	https://en.wikipedia.org/wiki/Geothlypis_trichas	https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Common_yellowthroat_in_PP_%2814155%29.jpg/960px-Common_yellowthroat_in_PP_%2814155%29.jpg
House Finch	Haemorhous mexicanus	https://en.wikipedia.org/wiki/Haemorhous_mexicanus	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/House_finch_%2833688%292.jpg/960px-House_finch_%2833688%292.jpg
Purple Finch	Haemorhous purpureus	https://en.wikipedia.org/wiki/Haemorhous_purpureus	https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Carpodacus_purpureus_CT3.jpg/960px-Carpodacus_purpureus_CT3.jpg
Wood Thrush	Hylocichla mustelina	https://en.wikipedia.org/wiki/Hylocichla_mustelina	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Wood_thrush_%28Hylocichla_mustelina%29_Peten.jpg/960px-Wood_thrush_%28Hylocichla_mustelina%29_Peten.jpg
Baltimore Oriole	Icterus galbula	https://en.wikipedia.org/wiki/Icterus_galbula	https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Baltimore_Oriole-_dorsum.jpg/960px-Baltimore_Oriole-_dorsum.jpg
Dark-eyed Junco	Junco hyemalis	https://en.wikipedia.org/wiki/Junco_hyemalis	https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Junco_hyemalis_hyemalis_CT1_%28cropped%29.jpg/960px-Junco_hyemalis_hyemalis_CT1_%28cropped%29.jpg
Belted Kingfisher	Megaceryle alcyon	https://en.wikipedia.org/wiki/Megaceryle_alcyon	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/BeltedKingfisherJG_Male.jpg/960px-BeltedKingfisherJG_Male.jpg
Eastern Screech-Owl	Megascops asio	https://en.wikipedia.org/wiki/Megascops_asio	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Eastern_Screech_Owl.jpg/960px-Eastern_Screech_Owl.jpg
Red-bellied Woodpecker	Melanerpes carolinus	https://en.wikipedia.org/wiki/Melanerpes_carolinus	https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Red-bellied_Woodpecker-27527.jpg/960px-Red-bellied_Woodpecker-27527.jpg
Song Sparrow	Melospiza melodia	https://en.wikipedia.org/wiki/Melospiza_melodia	https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Song_sparrow_in_Prospect_Park_%2893031%29.jpg/960px-Song_sparrow_in_Prospect_Park_%2893031%29.jpg
Northern Mockingbird	Mimus polyglottos	https://en.wikipedia.org/wiki/Mimus_polyglottos	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Mockingbird_in_Bay_Ridge_%2885082%29.jpg/960px-Mockingbird_in_Bay_Ridge_%2885082%29.jpg
Black-and-white Warbler	Mniotilta varia	https://en.wikipedia.org/wiki/Mniotilta_varia	https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Black-and-white_warbler_in_Prospect_Park_%2806193%292.jpg/960px-Black-and-white_warbler_in_Prospect_Park_%2806193%292.jpg
Brown-headed Cowbird	Molothrus ater	https://en.wikipedia.org/wiki/Molothrus_ater	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Brown-headed_cowbird_male_%2871126%29.jpg/960px-Brown-headed_cowbird_male_%2871126%29.jpg
Great Crested Flycatcher	Myiarchus crinitus	https://en.wikipedia.org/wiki/Myiarchus_crinitus	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/GreatCrestedFlycatcher.jpg/960px-GreatCrestedFlycatcher.jpg
House Sparrow	Passer domesticus	https://en.wikipedia.org/wiki/Passer_domesticus	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/House_sparrow_male_in_Prospect_Park_%2853532%29.jpg/960px-House_sparrow_male_in_Prospect_Park_%2853532%29.jpg
Indigo Bunting	Passerina cyanea	https://en.wikipedia.org/wiki/Passerina_cyanea	https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Indigo_Bunting_by_Dan_Pancamo_4.jpg/960px-Indigo_Bunting_by_Dan_Pancamo_4.jpg
Rose-breasted Grosbeak	Pheucticus ludovicianus	https://en.wikipedia.org/wiki/Pheucticus_ludovicianus	https://upload.wikimedia.org/wikipedia/commons/d/d3/RosebreastedGrosbeak08.jpg
Eastern Towhee	Pipilo erythrophthalmus	https://en.wikipedia.org/wiki/Pipilo_erythrophthalmus	https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/20241004_eastern_towhee_pleasant_valley_PD207764.jpg/960px-20241004_eastern_towhee_pleasant_valley_PD207764.jpg
Scarlet Tanager	Piranga olivacea	https://en.wikipedia.org/wiki/Piranga_olivacea	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Scarlet_tanager_in_GWC_%2850867%29.jpg/960px-Scarlet_tanager_in_GWC_%2850867%29.jpg
Summer Tanager	Piranga rubra	https://en.wikipedia.org/wiki/Piranga_rubra	https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Summer_tanager_%28Piranga_rubra%29_male_Copan_3.jpg/960px-Summer_tanager_%28Piranga_rubra%29_male_Copan_3.jpg
Carolina Chickadee	Poecile carolinensis	https://en.wikipedia.org/wiki/Poecile_carolinensis	https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Carolina_Chickadee1_by_Dan_Pancamo.jpg/960px-Carolina_Chickadee1_by_Dan_Pancamo.jpg
Blue-gray Gnatcatcher	Polioptila caerulea	https://en.wikipedia.org/wiki/Polioptila_caerulea	https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Blue-gray_gnatcatcher_in_PP_%2872317%29.jpg/960px-Blue-gray_gnatcatcher_in_PP_%2872317%29.jpg
Common Grackle	Quiscalus quiscula	https://en.wikipedia.org/wiki/Quiscalus_quiscula	https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Common_grackle_in_PP_%2836732%29.jpg/960px-Common_grackle_in_PP_%2836732%29.jpg
Golden-crowned Kinglet	Regulus satrapa	https://en.wikipedia.org/wiki/Regulus_satrapa	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Golden-Crowned_Kinglet_EBFNWR.jpg/960px-Golden-Crowned_Kinglet_EBFNWR.jpg
Eastern Phoebe	Sayornis phoebe	https://en.wikipedia.org/wiki/Sayornis_phoebe	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Sayornis_phoebe_-Owen_Conservation_Park%2C_Madison%2C_Wisconsin%2C_USA-8.jpg/960px-Sayornis_phoebe_-Owen_Conservation_Park%2C_Madison%2C_Wisconsin%2C_USA-8.jpg
Ovenbird	Seiurus aurocapilla	https://en.wikipedia.org/wiki/Seiurus_aurocapilla	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Ovenbird_%2890497%29.jpg/960px-Ovenbird_%2890497%29.jpg
Yellow Warbler	Setophaga petechia	https://en.wikipedia.org/wiki/Setophaga_petechia	https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Dendroica_petechia_2446949099_%28cropped%29.jpg/960px-Dendroica_petechia_2446949099_%28cropped%29.jpg
American Redstart	Setophaga ruticilla	https://en.wikipedia.org/wiki/Setophaga_ruticilla	https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/American_redstart_in_JBWR_%2824754%29.jpg/960px-American_redstart_in_JBWR_%2824754%29.jpg
Eastern Bluebird	Sialia sialis	https://en.wikipedia.org/wiki/Sialia_sialis	https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sialia_sialis_-Michigan%2C_USA_-pair-8c.jpg/960px-Sialia_sialis_-Michigan%2C_USA_-pair-8c.jpg
Red-breasted Nuthatch	Sitta canadensis	https://en.wikipedia.org/wiki/Sitta_canadensis	https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Red-breasted_Nuthatch_%2848859254972%29.jpg/960px-Red-breasted_Nuthatch_%2848859254972%29.jpg
White-breasted Nuthatch	Sitta carolinensis	https://en.wikipedia.org/wiki/Sitta_carolinensis	https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/White-breasted_nuthatch_%2826471%29.jpg/960px-White-breasted_nuthatch_%2826471%29.jpg
Pine Siskin	Spinus pinus	https://en.wikipedia.org/wiki/Spinus_pinus	https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carduelis_pinus_CT7.jpg/960px-Carduelis_pinus_CT7.jpg
American Goldfinch	Spinus tristis	https://en.wikipedia.org/wiki/Spinus_tristis	https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Carduelis_tristis_-Michigan%2C_USA_-male-8.jpg/960px-Carduelis_tristis_-Michigan%2C_USA_-male-8.jpg
